second,maxFlight,flying,agressiveAvgFlying,lazyAvgFlying,bothAvgFlying
1,1,1,0.10,0.00,0.09
55,1,1,1.00,0.00,0.47
189,1,1,1.00,0.00,0.47
403,1,1,1.00,0.00,0.47
698,1,1,1.00,0.00,0.47
1072,1,1,1.21,0.19,0.66
1527,1,1,1.20,0.28,0.84
2063,1,1,1.30,0.37,0.86
2678,1,1,1.46,0.51,0.96
3373,1,1,1.33,0.39,0.91
